rodada,grupo,primitiva,mu_bruta_ns,sigma_bruta_ns,cv_bruto_pct,mu_fil_ns,sigma_fil_ns,cv_fil_pct,status
1,tau_a,var int <- cte int (a = 5),276.3000253859597,92.86827510621423,33.61138855361588,235.3456887860684,45.173785405162256,19.19465176446282,REPROVADO
1,tau_a,var float <- cte float,237.59995625975233,1794.3298017314946,755.1894495173528,167.78122306941702,48.089441209644946,28.661992283694726,REPROVADO
1,tau_a,var bool <- cte bool,201.00002438994125,79.25343815848345,39.429566438624555,164.50852083020152,46.394169032523095,28.201681468164875,REPROVADO
1,tau_a,var int <- var int (a = b),279.4666531068894,48.845052163499105,17.477953673713273,245.6260678550331,38.64958748225768,15.735132602077243,REPROVADO
1,tau_a,var float <- var float,279.03326069160056,51.94198305794013,18.614979063499035,240.85925126782692,42.11480586966649,17.485234902950157,REPROVADO
1,tau_c,Igualdade: cte int == cte int,200.33344723439464,1763.7508074715377,880.4075564116408,127.12935383550196,48.22583293298381,37.934459255873556,REPROVADO
1,tau_c,Igualdade: var int == cte int,187.66673019854352,451.98374172435155,240.84383057464245,144.8057947213252,56.78441258930699,39.214185246237584,REPROVADO
1,tau_c,Igualdade: var int == var int,45.08219604538294,135.03376642147035,299.52792513819816,3.675804713222265,1.069103875179602,29.084893202675328,REPROVADO
1,tau_c,Igualdade: var float == var float,203.80001175605383,82.95287430276058,40.703076308972044,167.1068085921085,63.83075409562044,38.19757832334953,REPROVADO
1,tau_c,Desigualdade: var int != var int,162.2666241019033,60.97069694263915,37.57439170260275,121.7809242242455,49.38313601689023,40.550797533739264,REPROVADO
1,tau_c,Relacional: var int > var int,56.08522739445713,92.16530964765893,164.33081210395088,10.087632994091525,9.038740601086733,89.60219514707619,REPROVADO
1,tau_c,Relacional: var float < cte float,271.8998997200591,551.5811224815951,202.8618337297985,211.2343564188622,49.937558607719524,23.6408316593618,REPROVADO
1,tau_o,Soma Int: var int + cte int,46.10833149767824,16.921667038461575,36.69980346027843,8.58300124032328,9.343341833887276,108.85867975868263,REPROVADO
1,tau_o,Soma Int: var int + var int,243.03333824112391,285.96973918106175,117.66687700159832,195.89195306973025,46.653282520558605,23.815823871004937,REPROVADO
1,tau_o,Soma Float: var float + var float,281.63328048928327,1074.6895048250694,381.5918001445016,200.1725766708615,48.08804076094495,24.02329108248172,REPROVADO
1,tau_o,Subtração Int: var int - var int,349.2999943167282,741.6397836610518,212.32172794957705,293.4096688302258,60.3527405958623,20.569445048105727,REPROVADO
1,tau_o,Multiplicação Int: var int * var int,246.8999809934758,111.21082286032814,45.04286408319603,200.79714718725504,59.17696236950522,29.471017491259104,REPROVADO
1,tau_o,Multiplicação Float: var float * var float,255.2666022287061,56.80382007666947,22.252742654433145,216.90977996771906,49.91761897148999,23.01307897639232,REPROVADO
1,tau_o,Divisão Float: var float / var float,78.7464063120032,81.7080020570616,103.76092812835698,36.408062171196285,5.852718558657915,16.07533664147665,REPROVADO
1,tau_o,Divisão Int (Piso): var int // var int,253.93344306697446,57.32032867078517,22.572973444725452,215.53105220800938,49.98173397930171,23.190038496663696,REPROVADO
1,tau_o,Módulo (Resto): var int % var int,259.49995081949356,136.1957415601592,52.48391806243388,215.85912109631622,49.96998782863847,23.149352028697407,REPROVADO
1,F,math.sqrt(var float),360.03329538895434,280.77092497572914,77.98471101746415,310.18155360159096,74.9652965042869,24.16819944121345,REPROVADO
1,F,abs(var int),298.53335581719875,1025.479596690825,343.5058685096342,220.82649344336443,64.965390643603,29.419201306234903,REPROVADO
1,F,len(lista_apoio),251.13314040936532,331.90677159092763,132.16366866192786,200.01206243099932,48.04145705480803,24.019279872873415,REPROVADO
1,F,"round(var float, 2)",799.3333323004966,2117.4577716402196,264.9029742755923,663.1774797937564,225.1416936463136,33.94893531612851,REPROVADO
2,tau_a,var int <- cte int (a = 5),286.43329521097866,495.5277102270475,172.9993399901558,45.50381513322923,43.41502182166578,95.4096303673709,REPROVADO
2,tau_a,var float <- cte float,378.36668343516067,2013.8007640110295,532.2352237062455,95.58352463659226,58.11977967291864,60.80522756812907,REPROVADO
2,tau_a,var bool <- cte bool,222.80014673015103,547.4730790934727,245.72384135660198,-18.930452775393757,55.58418564359044,inf,REPROVADO
2,tau_a,var int <- var int (a = b),353.29997141767916,1193.0312885821104,337.682248825229,70.04792704582678,75.21224455889892,107.37254866898994,REPROVADO
2,tau_a,var float <- var float,326.9332955824211,1261.1892890789356,385.76348940910646,64.7531452064228,47.89877134353377,73.97134330825175,REPROVADO
2,tau_c,Igualdade: cte int == cte int,86.38361768170898,1046.5136087197545,1211.4723101500126,-170.32715645330595,5.399697836005983,inf,REPROVADO
2,tau_c,Igualdade: var int == cte int,397.6000492305805,2684.1837765296013,675.0964396820184,62.269855310339786,60.27864742494895,96.8022924166644,REPROVADO
2,tau_c,Igualdade: var int == var int,311.59988429863006,1445.061210521695,463.7553745484649,14.183598923973198,49.5834980317622,349.5833342266601,REPROVADO
2,tau_c,Igualdade: var float == var float,400.7999329284454,3149.299152930777,785.7534131606303,49.69712109169202,64.91766752404449,130.626615984999,REPROVADO
2,tau_c,Desigualdade: var int != var int,96.8083343087485,421.5748885392819,435.47375497109914,-159.34619003133187,7.967056208892049,inf,REPROVADO
2,tau_c,Relacional: var int > var int,90.22543880539095,282.5791831765965,313.19236228498386,-164.0270730514239,2.855165175719715,inf,REPROVADO
2,tau_c,Relacional: var float < cte float,60.9102557064034,54.43569352372151,89.37032506661892,-171.28033973980735,2.5345283338623092,inf,REPROVADO
2,tau_o,Soma Int: var int + cte int,67.29411869576151,164.62652086919041,244.63730866804462,-169.78709745009346,2.3919781756411096,inf,REPROVADO
2,tau_o,Soma Int: var int + var int,78.06568593129187,187.40859108310966,240.06525895135798,-162.83225342823286,6.770753908527829,inf,REPROVADO
2,tau_o,Soma Float: var float + var float,629.333296577291,12983.952967597248,2063.128240347702,22.310622483901213,49.98212190777008,224.02836112634654,REPROVADO
2,tau_o,Subtração Int: var int - var int,240.16657941198596,417.3822493349995,173.788647178513,-0.10358465151732014,57.70745860271493,inf,REPROVADO
2,tau_o,Multiplicação Int: var int * var int,42.12688274433716,23.21704882708478,55.11219277245407,-188.72617241669195,1.7973224414751678,inf,REPROVADO
2,tau_o,Multiplicação Float: var float * var float,175.9666532355671,389.6618571857186,221.44073892459448,-62.04443853876039,46.932025118505734,inf,REPROVADO
2,tau_o,Divisão Float: var float / var float,45.40061769305648,23.601718703520184,51.98545725321663,-185.6663164178841,1.3922743905265276,inf,REPROVADO
2,tau_o,Divisão Int (Piso): var int // var int,196.29991341692707,82.45338265021877,42.00377942862035,-32.39623252417667,61.341065841553416,inf,REPROVADO
2,tau_o,Módulo (Resto): var int % var int,52.88919501335922,18.48330535556503,34.947223815556946,-177.89947893608166,8.93242567988323,inf,REPROVADO
